child_anonim;group;match;crawling_age;walking_age;babbling_age
1958;Monolinguals1;match1;NA;NA;NA
1964;Monolinguals1;match1;NA;NA;NA
1976;Monolinguals1;match1;NA;NA;NA
1993;Monolinguals1;match1;NA;NA;NA
2019;Monolinguals1;match1;7;12;6
2023;Monolinguals1;match1;6;NA;6
2097;Monolinguals1;match1;NA;NA;NA
2111;Monolinguals1;match1;9;18;6
2113;Monolinguals1;match1;NA;NA;NA
2118;Monolinguals1;match1;NA;NA;NA
2122;Monolinguals1;match1;NA;NA;NA
2125;Monolinguals1;match1;7;15;5
2141;Monolinguals1;match1;NA;NA;NA
2145;Monolinguals1;match1;NA;NA;NA
2146;Monolinguals1;match1;NA;NA;NA
2171;Monolinguals1;match1;NA;NA;NA
2183;Monolinguals1;match1;8;NA;6
2204;Monolinguals1;match1;NA;NA;NA
2216;Monolinguals1;match1;7;11;6
2219;Monolinguals1;match1;NA;NA;NA
2228;Monolinguals1;match1;NA;NA;NA
2229;Monolinguals1;match1;NA;NA;NA
2235;Monolinguals1;match1;NA;NA;NA
2238;Monolinguals1;match1;NA;NA;NA
2261;Monolinguals1;match1;NA;NA;NA
2266;Monolinguals1;match1;5;11;4
2267;Monolinguals1;match1;NA;NA;NA
2279;Monolinguals1;match1;7;NA;8
2288;Monolinguals1;match1;NA;NA;NA
2291;Monolinguals1;match1;NA;NA;NA
2295;Monolinguals1;match1;NA;NA;NA
2297;Monolinguals1;match1;NA;NA;NA
2303;Monolinguals1;match1;NA;NA;NA
2305;Monolinguals1;match1;NA;NA;NA
2308;Monolinguals1;match1;NA;NA;NA
2310;Monolinguals1;match1;NA;NA;NA
2315;Monolinguals1;match1;NA;NA;NA
2320;Monolinguals1;match1;NA;NA;NA
2323;Monolinguals1;match1;NA;NA;NA
2364;Monolinguals1;match1;7;NA;NA
2365;Monolinguals1;match1;8;14;3
2395;Monolinguals1;match1;10;16;NA
2398;Monolinguals1;match1;7;11;6
2400;Monolinguals1;match1;NA;NA;NA
2413;Monolinguals1;match1;NA;NA;NA
2415;Monolinguals1;match1;8;11;16
2424;Monolinguals1;match1;NA;NA;NA
2441;Monolinguals1;match1;NA;NA;NA
2463;Monolinguals1;match1;NA;NA;NA
2476;Monolinguals1;match1;6;9;NA
2483;Monolinguals1;match1;NA;NA;NA
2486;Monolinguals1;match1;6;NA;9
2501;Monolinguals1;match1;NA;NA;NA
2523;Monolinguals1;match1;NA;NA;NA
2528;Monolinguals1;match1;NA;NA;NA
2535;Monolinguals1;match1;NA;NA;NA
2553;Monolinguals1;match1;5;NA;NA
2574;Monolinguals1;match1;NA;NA;NA
2598;Monolinguals1;match1;NA;NA;NA
2613;Monolinguals1;match1;NA;NA;NA
2615;Monolinguals1;match1;10;13;4
2616;Monolinguals1;match1;11;14;10
2642;Monolinguals1;match1;12;NA;NA
2647;Monolinguals1;match1;NA;NA;NA
2654;Monolinguals1;match1;6;13;7
2661;Monolinguals1;match1;NA;NA;NA
2668;Monolinguals1;match1;NA;NA;NA
2674;Monolinguals1;match1;NA;NA;NA
2691;Monolinguals1;match1;NA;NA;NA
2697;Monolinguals1;match1;NA;NA;NA
2713;Monolinguals1;match1;NA;NA;NA
2721;Monolinguals1;match1;NA;NA;NA
2726;Monolinguals1;match1;NA;NA;NA
2740;Monolinguals1;match1;6;NA;6
2754;Monolinguals1;match1;6;10;NA
2759;Monolinguals1;match1;NA;NA;NA
2780;Monolinguals1;match1;NA;NA;NA
2783;Monolinguals1;match1;NA;NA;NA
2789;Monolinguals1;match1;NA;NA;NA
2816;Monolinguals1;match1;NA;NA;NA
2820;Monolinguals1;match1;5;11;NA
2832;Monolinguals1;match1;NA;NA;NA
2835;Monolinguals1;match1;NA;NA;NA
2842;Monolinguals1;match1;NA;NA;NA
2845;Monolinguals1;match1;NA;NA;NA
2849;Monolinguals1;match1;NA;NA;NA
2875;Monolinguals1;match1;NA;NA;NA
2878;Monolinguals1;match1;NA;NA;NA
2885;Monolinguals1;match1;NA;NA;NA
2892;Monolinguals1;match1;10;NA;12
2921;Monolinguals1;match1;NA;NA;NA
2924;Monolinguals1;match1;NA;NA;NA
2935;Monolinguals1;match1;NA;NA;NA
2955;Monolinguals1;match1;NA;NA;NA
2975;Monolinguals1;match1;NA;NA;NA
2984;Monolinguals1;match1;NA;NA;NA
2997;Monolinguals1;match1;NA;NA;NA
3010;Monolinguals1;match1;10;16;6
3029;Monolinguals1;match1;NA;NA;NA
3030;Monolinguals1;match1;NA;NA;NA
3031;Monolinguals1;match1;NA;NA;NA
3050;Monolinguals1;match1;NA;NA;NA
3055;Monolinguals1;match1;NA;NA;NA
3069;Monolinguals1;match1;NA;NA;NA
3098;Monolinguals1;match1;10;NA;NA
3106;Monolinguals1;match1;NA;NA;NA
3123;Monolinguals1;match1;NA;NA;NA
3134;Monolinguals1;match1;10;11;NA
3151;Monolinguals1;match1;NA;NA;NA
3180;Monolinguals1;match1;NA;NA;NA
3185;Monolinguals1;match1;6;NA;5
3223;Monolinguals1;match1;NA;NA;NA
3224;Monolinguals1;match1;7;NA;NA
3226;Monolinguals1;match1;7;NA;7
3235;Monolinguals1;match1;7;13;6
3241;Monolinguals1;match1;NA;NA;NA
3257;Monolinguals1;match1;8;12;8
3279;Monolinguals1;match1;NA;NA;NA
3281;Monolinguals1;match1;8;10;6
3286;Monolinguals1;match1;7;12;NA
3312;Monolinguals1;match1;NA;NA;NA
3326;Monolinguals1;match1;NA;NA;NA
3333;Monolinguals1;match1;NA;NA;NA
3369;Monolinguals1;match1;10;NA;6
3447;Monolinguals1;match1;NA;NA;NA
3464;Monolinguals1;match1;NA;NA;NA
3472;Monolinguals1;match1;6;NA;5
3496;Monolinguals1;match1;6;10;8
3498;Monolinguals1;match1;NA;NA;NA
3506;Monolinguals1;match1;NA;NA;NA
3507;Monolinguals1;match1;11;17;5
3548;Monolinguals1;match1;NA;NA;NA
3549;Monolinguals1;match1;8;12;8
3564;Monolinguals1;match1;7;14;6
3567;Monolinguals1;match1;NA;NA;NA
3573;Monolinguals1;match1;NA;NA;NA
3602;Monolinguals1;match1;NA;NA;NA
3623;Monolinguals1;match1;NA;NA;NA
3629;Monolinguals1;match1;NA;NA;NA
3634;Monolinguals1;match1;NA;NA;NA
3676;Monolinguals1;match1;NA;NA;NA
3695;Monolinguals1;match1;NA;NA;NA
3705;Monolinguals1;match1;6;9;10
3715;Monolinguals1;match1;8;14;NA
3723;Monolinguals1;match1;7;11;9
3739;Monolinguals1;match1;NA;NA;NA
3779;Monolinguals1;match1;NA;NA;NA
3789;Monolinguals1;match1;NA;NA;NA
3790;Monolinguals1;match1;11;NA;7
3798;Monolinguals1;match1;NA;NA;NA
3817;Monolinguals1;match1;NA;NA;NA
3831;Monolinguals1;match1;NA;NA;NA
3839;Monolinguals1;match1;NA;NA;NA
3849;Monolinguals1;match1;NA;NA;NA
3857;Monolinguals1;match1;NA;NA;NA
3900;Monolinguals1;match1;10;NA;6
3910;Monolinguals1;match1;NA;NA;NA
3918;Monolinguals1;match1;11;14;8
3931;Monolinguals1;match1;NA;NA;NA
3936;Monolinguals1;match1;10;12;6
4003;Monolinguals1;match1;NA;NA;NA
4047;Monolinguals1;match1;NA;NA;NA
4048;Monolinguals1;match1;NA;NA;NA
4108;Monolinguals1;match1;10;NA;6
4117;Monolinguals1;match1;NA;NA;NA
4134;Monolinguals1;match1;NA;NA;NA
4162;Monolinguals1;match1;5;NA;6
4171;Monolinguals1;match1;11;12;6
4188;Monolinguals1;match1;NA;NA;NA
4191;Monolinguals1;match1;NA;NA;NA
4241;Monolinguals1;match1;NA;NA;NA
4242;Monolinguals1;match1;NA;NA;NA
4250;Monolinguals1;match1;NA;NA;NA
4293;Monolinguals1;match1;11;13;10
4305;Monolinguals1;match1;NA;NA;NA
4313;Monolinguals1;match1;7;NA;NA
4327;Monolinguals1;match1;NA;NA;NA
4338;Monolinguals1;match1;NA;NA;NA
4346;Monolinguals1;match1;NA;NA;NA
4379;Monolinguals1;match1;NA;NA;NA
4391;Monolinguals1;match1;NA;NA;NA
4432;Monolinguals1;match1;NA;NA;NA
4461;Monolinguals1;match1;NA;NA;NA
4465;Monolinguals1;match1;NA;NA;NA
4471;Monolinguals1;match1;NA;NA;NA
4590;Monolinguals1;match1;NA;NA;NA
4628;Monolinguals1;match1;6;NA;10
4636;Monolinguals1;match1;10;12;6
4765;Monolinguals1;match1;NA;NA;NA
4780;Monolinguals1;match1;NA;NA;NA
4827;Monolinguals1;match1;NA;NA;NA
4847;Monolinguals1;match1;NA;NA;NA
5018;Monolinguals1;match1;NA;NA;NA
5135;Monolinguals1;match1;NA;NA;NA
1;Monolinguals2;match2;NA;NA;NA
10;Monolinguals2;match2;NA;NA;NA
11;Monolinguals2;match2;NA;NA;NA
18;Monolinguals2;match2;NA;NA;NA
31;Monolinguals2;match2;NA;NA;NA
32;Monolinguals2;match2;NA;NA;NA
43;Monolinguals2;match2;NA;NA;NA
51;Monolinguals2;match2;8;9;13
55;Monolinguals2;match2;NA;NA;NA
61;Monolinguals2;match2;NA;NA;NA
64;Monolinguals2;match2;NA;NA;NA
66;Monolinguals2;match2;NA;NA;NA
72;Monolinguals2;match2;5;NA;5
79;Monolinguals2;match2;NA;NA;NA
133;Monolinguals2;match2;NA;NA;NA
136;Monolinguals2;match2;7;NA;7
145;Monolinguals2;match2;NA;NA;NA
154;Monolinguals2;match2;NA;NA;NA
178;Monolinguals2;match2;NA;NA;NA
227;Monolinguals2;match2;NA;NA;NA
232;Monolinguals2;match2;NA;NA;NA
247;Monolinguals2;match2;NA;NA;NA
265;Monolinguals2;match2;NA;NA;NA
301;Monolinguals2;match2;NA;NA;NA
307;Monolinguals2;match2;NA;NA;NA
316;Monolinguals2;match2;NA;NA;NA
325;Monolinguals2;match2;NA;NA;NA
344;Monolinguals2;match2;NA;NA;NA
345;Monolinguals2;match2;7;12;8
346;Monolinguals2;match2;NA;NA;NA
356;Monolinguals2;match2;NA;NA;NA
365;Monolinguals2;match2;NA;NA;NA
366;Monolinguals2;match2;NA;NA;NA
367;Monolinguals2;match2;NA;NA;NA
381;Monolinguals2;match2;8;12;NA
383;Monolinguals2;match2;7;NA;6
384;Monolinguals2;match2;NA;NA;NA
386;Monolinguals2;match2;NA;NA;NA
389;Monolinguals2;match2;NA;NA;NA
391;Monolinguals2;match2;NA;NA;NA
397;Monolinguals2;match2;NA;NA;NA
398;Monolinguals2;match2;NA;NA;NA
402;Monolinguals2;match2;NA;NA;NA
403;Monolinguals2;match2;6;NA;7
420;Monolinguals2;match2;NA;NA;NA
424;Monolinguals2;match2;NA;NA;NA
433;Monolinguals2;match2;NA;NA;NA
436;Monolinguals2;match2;NA;NA;NA
441;Monolinguals2;match2;9;NA;9
443;Monolinguals2;match2;NA;NA;NA
446;Monolinguals2;match2;NA;NA;NA
447;Monolinguals2;match2;NA;NA;NA
450;Monolinguals2;match2;NA;NA;NA
460;Monolinguals2;match2;NA;NA;NA
462;Monolinguals2;match2;NA;NA;NA
